Algorithm,Run,Time (ms),R,Latitude,Longitude,ax,ay,az
Stokes_1thread,60,13.4163,6.93068e+06,-41.778,70.4227,-2.07006,-5.82091,5.53463
Stokes_multithread,60,13.5159,6.93068e+06,-41.778,70.4227,-2.07006,-5.82091,5.53463
Belikov,61,13.8808,6.24217e+06,14.6713,112.233,3.74859,-9.17117,-2.60306
Cunningham,61,13.6584,6.24217e+06,14.6713,112.233,3.74859,-9.17121,-2.60306
Stokes_1thread,61,13.3803,6.24217e+06,14.6713,112.233,3.74859,-9.17117,-2.60306
Stokes_multithread,61,13.5101,6.24217e+06,14.6713,112.233,3.74859,-9.17117,-2.60306
Belikov,62,13.4517,6.85958e+06,88.031,-23.3708,-0.265579,0.114798,-8.44262
Cunningham,62,13.4537,6.85958e+06,88.031,-23.3708,-0.265579,0.114673,-8.44262
Stokes_1thread,62,13.4044,6.85958e+06,88.031,-23.3708,-0.265579,0.114798,-8.44262
Stokes_multithread,62,13.2975,6.85958e+06,88.031,-23.3708,-0.265579,0.114798,-8.44262
Belikov,63,13.3957,6.86283e+06,15.6539,172.062,8.07834,-1.12639,-2.29211
Cunningham,63,13.3981,6.86283e+06,15.6539,172.062,8.07834,-1.12641,-2.29211
Stokes_1thread,63,13.4166,6.86283e+06,15.6539,172.062,8.07834,-1.12639,-2.29211
Stokes_multithread,63,13.7029,6.86283e+06,15.6539,172.062,8.07834,-1.12639,-2.29211
Belikov,64,13.4531,6.93806e+06,77.4831,-5.84306,-1.77608,0.181714,-8.06445
Cunningham,64,13.7721,6.93806e+06,77.4831,-5.84306,-1.77608,0.181594,-8.06445
Stokes_1thread,64,13.3325,6.93806e+06,77.4831,-5.84306,-1.77608,0.181714,-8.06445
Stokes_multithread,64,13.7797,6.93806e+06,77.4831,-5.84306,-1.77608,0.181714,-8.06445
Belikov,65,13.4416,6.92375e+06,-82.3342,17.7051,-1.05083,-0.33544,8.21892
Cunningham,65,13.5079,6.92375e+06,-82.3342,17.7051,-1.05083,-0.335551,8.21892
Stokes_1thread,65,13.4927,6.92375e+06,-82.3342,17.7051,-1.05083,-0.33544,8.21892
